product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Пакеты для фестиваля,3991,882,Товары для дома,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2021-01-11,2021-01-11,1.46,Cancelled
2,Бритвенный станок,8724,471,Товары для дома,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",2014-07-04,2014-07-04,1.24,Pending
3,Камамбер,1272,484,Молочные продукты,Отличается высокой степенью очистки и отсутствия посторонних примесей.,2003-03-22,2003-03-22,2.03,Awaiting Payment
4,Мортаделла,7238,274,Мясо,Подходит для использования в диетических программах для похудения.,2020-01-14,2020-01-14,3.35,Available for Pickup
5,Кастрюли,7865,105,Товары для дома,Помогает поддерживать нормальный уровень холестерина в крови.,2028-02-11,2028-02-11,1.53,Awaiting Payment
6,Редис,4253,382,Овощи,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2014-10-08,2014-10-08,0.27,Delivered
7,Косулятина,2535,38,Мясо,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2019-02-16,2019-02-16,4.5,Sold
8,Салфетки сухие,2224,893,Товары для дома,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2016-04-03,2016-04-03,0.23,Delivered
9,Черника,747,647,Фрукты,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2028-03-02,2028-03-02,0.96,Backorder
10,Каша из булгура,9005,702,Бакалея,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2020-07-26,2020-07-26,0.24,Awaiting Review
11,Тефтели,2667,852,Мясо,Помогает поддерживать нормальный уровень холестерина в крови.,2029-01-10,2029-01-10,0.59,Shipping
12,Тан,9678,325,Молочные продукты,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",2020-01-16,2020-01-16,1.22,Returned
13,Темный шоколад,8661,460,Бакалея,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2017-04-02,2017-04-02,3.96,Available for Pickup
14,Жемчужина Байкала,8767,422,Напитки,Рекомендуется для ежедневного потребления в умеренных количествах.,2012-05-02,2012-05-02,2.85,Refunded
15,Пакеты для Дня матери,8962,952,Товары для дома,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2023-01-01,2023-01-01,2.82,Pending
16,Эмменталь,1589,791,Молочные продукты,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2021-07-02,2021-07-02,3.85,Delivered
17,Курт,4271,145,Молочные продукты,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2013-01-01,2013-01-01,4.97,Pending
18,Евпатория,8532,639,Напитки,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2025-01-10,2025-01-10,3.41,Shipping
19,Сырой арахис,5701,766,Бакалея,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2027-01-02,2027-01-02,2.93,Backorder
20,Каймак,5582,302,Молочные продукты,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2019-09-02,2019-09-02,3.44,Cancelled
21,Пакеты для конференции,971,913,Товары для дома,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2025-01-05,2025-01-05,3.17,Sold
22,Малина,9303,552,Фрукты,Способствует поддержанию нормальной микрофлоры кишечника.,2016-03-07,2016-03-07,2.3,Awaiting Review
23,Сырокопченая колбаса,5203,812,Мясо,Отличается способностью повышать общий тонус и работоспособность.,2026-12-17,2026-12-17,2.4,In Stock
24,Айва,9040,188,Фрукты,Помогает поддерживать нормальный уровень сахара в крови.,2007-01-13,2007-01-13,1.65,Sold
25,Партенит,6839,54,Напитки,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2022-01-01,2022-01-01,1.02,Cancelled
26,Амурская,2185,287,Напитки,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2016-02-17,2016-02-17,0.46,Sold
27,Лук-порей,2081,298,Овощи,Помогает улучшать качество сна и снижать уровень тревожности.,2019-01-15,2019-01-15,3.57,Delivered
28,Фарш говяжий,9209,131,Мясо,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2016-01-02,2016-01-02,2.64,Available for Pickup
29,Ямс,2257,120,Овощи,Помогает поддерживать нормальный уровень эстрогенов у женщин.,1999-06-13,1999-06-13,1.42,Backorder
30,Утиная печень,9325,216,Мясо,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2017-01-09,2017-01-09,3.97,Temporarily Unavailable
31,Белый перец молотый,9952,823,Бакалея,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,2009-08-19,2009-08-19,3.0,Sold
32,Оленина,1906,921,Мясо,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2026-01-04,2026-01-04,3.54,Awaiting Payment
33,Мытищинская,9843,850,Напитки,"Помогает поддерживать нормальный уровень адреналина, гормона стресса и возбуждения.",2020-02-10,2020-02-10,0.35,Shipping
34,Мультиварка,1515,715,Товары для дома,Является неотъемлемой частью рациона многих народов мира.,2014-03-05,2014-03-05,3.02,Temporarily Unavailable
35,Мультиварка,3759,362,Товары для дома,Является важным компонентом сбалансированного рациона питания.,2009-03-07,2009-03-07,2.84,New
36,Каша из дробленой перловки,8857,847,Бакалея,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2022-01-06,2022-01-06,2.24,In Stock
37,Засоленное мясо,1367,970,Мясо,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2028-02-04,2028-02-04,2.22,Out of Stock
38,Йогурт питьевой,2265,618,Напитки,Помогает поддерживать нормальный уровень холестерина в крови.,2027-02-04,2027-02-04,0.31,Awaiting Review
39,Репа,8659,796,Овощи,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2012-03-09,2012-03-09,0.36,Pending
40,Плечо,3035,794,Мясо,Широко используется в традиционной и современной кухне.,2011-04-06,2011-04-06,3.47,On Backorder
41,Сыр,2040,577,Молочные продукты,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2012-09-11,2012-09-11,2.27,Shipping
42,Шампунь,5291,352,Товары для дома,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",2002-06-05,2002-06-05,1.32,New
43,Курт,7324,655,Молочные продукты,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",2027-01-11,2027-01-11,3.13,Cancelled
44,Какао-порошок,6580,157,Бакалея,Способствует поддержанию нормальной микрофлоры кишечника.,2015-02-10,2015-02-10,0.49,Available for Pickup
45,Студень,6361,121,Мясо,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2026-01-18,2026-01-18,4.6,Awaiting Review
46,Сыр,8921,217,Молочные продукты,Может использоваться в вегетарианской диете как источник белка.,2020-01-09,2020-01-09,2.01,Awaiting Payment
47,Эндивий,6186,123,Овощи,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2028-01-08,2028-01-08,0.31,Awaiting Payment
48,Белый шоколад,7335,822,Бакалея,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",2019-03-06,2019-03-06,0.77,Available for Pickup
49,Картофель,3104,623,Овощи,Помогает поддерживать нормальный уровень холестерина в крови.,2019-08-01,2019-08-01,3.09,New
50,Моцарелла,3269,336,Молочные продукты,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2025-08-05,2025-08-05,2.01,Returned
51,Мелисса сушеная,4693,696,Бакалея,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2029-03-04,2029-03-04,0.12,Awaiting Review
52,Пакеты для Дня Победы,2893,410,Товары для дома,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2022-08-04,2022-08-04,2.55,Awaiting Review
53,Цукини,1322,551,Овощи,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",2016-02-03,2016-02-03,1.87,Delivered
54,Картофель,6193,926,Овощи,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2007-01-08,2007-01-08,4.2,Sold
55,Шелковица,4152,476,Фрукты,Отвечает всем современным стандартам качества и безопасности.,2008-07-01,2008-07-01,0.15,Available for Pickup
56,Баклажан,5088,859,Овощи,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",2029-01-01,2029-01-01,1.5,Awaiting Review
57,Мандарин,3338,454,Фрукты,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2008-02-10,2008-02-10,1.93,Backorder
58,Сметана,2926,362,Молочные продукты,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2020-07-09,2020-07-09,1.8,Delivered
59,Плечо,6703,15,Мясо,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2018-02-02,2018-02-02,0.85,Refunded
60,Чечевица,2603,322,Овощи,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2024-02-06,2024-02-06,1.26,Available for Pickup
61,Шубат,4560,796,Молочные продукты,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2026-03-03,2026-03-03,3.7,Awaiting Review
62,Пакеты для Всемирного дня здоровья,1131,687,Товары для дома,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2015-03-02,2015-03-02,0.7,On Backorder
63,Доктор Пеппер,2460,945,Напитки,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2020-02-22,2020-02-22,3.46,Pending
64,Термосы,5961,402,Товары для дома,Способствует нормализации обмена веществ в организме.,2029-01-10,2029-01-10,4.71,Available for Pickup
65,Роллы с мясом,2806,847,Мясо,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",2013-01-14,2013-01-14,2.21,Delivered
66,Клюква,9903,601,Фрукты,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",2020-02-07,2020-02-07,0.48,Delivered
67,Сельдерей,4648,568,Овощи,Помогает предотвратить дефицит витаминов и минералов в организме.,2030-05-12,2030-05-12,1.99,Awaiting Payment
68,Ножи столовые,3883,942,Товары для дома,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2029-07-01,2029-07-01,0.28,Available for Pickup
69,Курт,3666,374,Молочные продукты,Помогает поддерживать нормальный уровень кислотности желудка.,1993-07-06,1993-07-06,3.86,Temporarily Unavailable
70,Вологодская,7966,672,Напитки,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2026-06-06,2026-06-06,2.5,In Stock
71,Виноград,7260,880,Фрукты,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2027-09-15,2027-09-15,4.8,On Backorder
72,Растительное масло тыквенное,5798,431,Бакалея,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",2024-05-07,2024-05-07,3.61,Sold
73,Курт,6618,927,Молочные продукты,"Отличается приятным ароматом, который усиливает аппетит.",2025-08-17,2025-08-17,1.2,Pending
74,Великолукская,7816,206,Напитки,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2025-04-07,2025-04-07,1.79,Sold
75,Каймак,9582,893,Молочные продукты,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2013-01-03,2013-01-03,2.71,On Backorder
76,Майонез,4276,199,Бакалея,Отличается простотой в использовании и хранении.,2015-02-05,2015-02-05,0.91,Temporarily Unavailable
77,Кокосовая вода,1737,593,Напитки,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2017-08-02,2017-08-02,3.27,Temporarily Unavailable
78,Свекла,5653,161,Овощи,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2025-03-01,2025-03-01,0.8,Awaiting Review
79,Топлёное молоко,6714,155,Молочные продукты,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2004-02-21,2004-02-21,0.52,Delivered
80,Тмин молотый,7267,401,Бакалея,"Подходит для приготовления как горячих, так и холодных блюд.",2022-02-08,2022-02-08,2.86,Sold
81,Абрикос,2342,294,Фрукты,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",2022-02-12,2022-02-12,2.95,On Backorder
82,Каша из дробленной булгурной крупы,1920,324,Бакалея,"Является источником витаминов группы B, необходимых для энергетического обмена.",2022-02-11,2022-02-11,3.81,Delivered
83,Мандарин,2552,40,Фрукты,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",2003-10-17,2003-10-17,0.57,Available for Pickup
84,Мацони,2615,887,Молочные продукты,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2022-05-01,2022-05-01,1.57,Awaiting Payment
85,Оленина,8842,97,Мясо,Отличается легкостью в переваривании и усвоении организмом.,2028-06-01,2028-06-01,2.59,Delivered
86,Пакеты для животных,2851,554,Товары для дома,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2013-05-05,2013-05-05,4.4,Delivered
87,Молоко,1102,631,Молочные продукты,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2023-05-07,2023-05-07,2.93,Awaiting Payment
88,Фейхоа,893,601,Фрукты,Помогает нормализовать артериальное давление и уровень холестерина.,2016-04-02,2016-04-02,2.75,Delivered
89,Каша из дробленной поленты,4854,493,Бакалея,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2022-04-09,2022-04-09,0.45,Awaiting Review
90,Фенхель,6116,34,Овощи,Помогает поддерживать нормальный уровень pH в организме.,2013-01-12,2013-01-12,0.18,Sold
91,Айва,4022,348,Фрукты,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2006-08-18,2006-08-18,5.0,Returned
92,Кефир,7937,809,Молочные продукты,Способствует улучшению работы пищеварительной системы.,1991-07-15,1991-07-15,1.95,Out of Stock
93,Каша из проса,6155,735,Бакалея,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2023-03-12,2023-03-12,3.59,Backorder
94,Нафтуся,1674,544,Напитки,Прошел строгий контроль качества на всех этапах производства.,2020-03-06,2020-03-06,3.72,Pending
95,Салями,5450,116,Мясо,Помогает улучшить когнитивные функции и память.,2007-02-02,2007-02-02,2.97,Awaiting Review
96,Полотенца для рук,9940,788,Товары для дома,Подходит для использования в рационе людей с повышенным давлением.,2030-01-04,2030-01-04,4.58,Pending
97,"Сухофрукты (изюм, курага, чернослив)",1285,133,Бакалея,Помогает укреплять стенки сосудов и улучшать кровообращение.,2012-06-05,2012-06-05,3.13,Refunded
98,Каша из амаранта,2596,17,Бакалея,Помогает поддерживать нормальный уровень триглицеридов в крови.,2016-04-04,2016-04-04,3.96,Refunded
99,Перец болгарский,9635,29,Овощи,Помогает поддерживать оптимальный вес и форму тела.,2030-01-21,2030-01-21,3.55,Temporarily Unavailable
100,Черный перец горошком,4587,885,Бакалея,Помогает укреплять стенки сосудов и улучшать кровообращение.,2029-01-03,2029-01-03,0.69,Pending
101,Растительное масло рапсовое,7096,290,Бакалея,"Является источником антиоксидантов, замедляющих процессы старения.",2010-01-02,2010-01-02,0.38,Backorder
102,Помело,9203,288,Фрукты,Идеален для перекусов между основными приемами пищи.,2017-09-04,2017-09-04,1.31,Out of Stock
103,Burn,2118,715,Напитки,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2017-06-08,2017-06-08,2.61,Pending
104,Карачинская,7880,559,Напитки,Широко используется в традиционной и современной кухне.,2023-07-08,2023-07-08,2.03,Out of Stock
105,Гель для душа,7958,238,Товары для дома,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2008-04-01,2008-04-01,4.05,Sold
106,Судакская,4922,740,Напитки,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",2024-04-19,2024-04-19,1.8,In Stock
107,Яблоко,6263,760,Фрукты,Служит основой для создания множества кулинарных шедевров.,2025-02-13,2025-02-13,1.07,Temporarily Unavailable
108,Свекла,6001,949,Овощи,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,1996-01-14,1996-01-14,3.99,Available for Pickup
109,Фейхоа,5914,855,Фрукты,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2022-02-05,2022-02-05,2.63,Returned
110,Мацони,1309,721,Молочные продукты,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2029-06-01,2029-06-01,2.66,Out of Stock
111,Каша из дробленной кускусовой крупы,724,660,Бакалея,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1997-01-07,1997-01-07,2.54,Awaiting Review
112,Стаканы,1531,477,Товары для дома,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2023-03-20,2023-03-20,3.28,Temporarily Unavailable
113,Курт,8771,456,Молочные продукты,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2023-05-01,2023-05-01,3.89,Available for Pickup
114,Мука пшеничная,1420,574,Бакалея,Отвечает всем современным стандартам качества и безопасности.,2029-03-08,2029-03-08,3.17,Returned
115,Чай черный,7326,2,Бакалея,Помогает поддерживать оптимальный вес и форму тела.,2024-02-08,2024-02-08,0.69,Awaiting Payment
116,Сливки,3260,750,Молочные продукты,Прошел сертификацию на соответствие требованиям органических стандартов.,2024-02-04,2024-02-04,2.09,Returned
117,Феодосийская,761,880,Напитки,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2022-03-15,2022-03-15,0.65,Awaiting Review
118,Любисток сушеный,8701,19,Бакалея,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2018-01-05,2018-01-05,4.66,Temporarily Unavailable
119,Щавель,3248,289,Овощи,Рекомендуется для ежедневного потребления в умеренных количествах.,2027-11-10,2027-11-10,0.35,On Backorder
120,Газированная вода,5200,480,Напитки,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2017-01-03,2017-01-03,3.27,New
121,Каша из пшеницы спельты,7582,148,Бакалея,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2014-01-02,2014-01-02,3.8,Pending
122,Кухонные ножи,6690,939,Товары для дома,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,2028-07-24,2028-07-24,3.01,Temporarily Unavailable
123,Славяновская,7750,350,Напитки,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2025-05-04,2025-05-04,3.64,Refunded
124,Топинамбур,9872,763,Овощи,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2023-07-02,2023-07-02,1.83,On Backorder
125,Кабанятина,7079,983,Мясо,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",2021-05-06,2021-05-06,4.69,In Stock
126,Бамия,5367,840,Овощи,"Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.",2022-04-01,2022-04-01,2.04,Delivered
127,Шубат,7791,760,Молочные продукты,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",2007-05-04,2007-05-04,2.67,Backorder
128,Белый шоколад,5767,177,Бакалея,Отличается стабильностью вкуса и качества в течение всего срока хранения.,2026-01-04,2026-01-04,2.54,New
129,Лимон,3741,674,Фрукты,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2030-06-11,2030-06-11,1.98,Awaiting Payment
130,Камчатская,3084,580,Напитки,Придает блюдам особую нежность и насыщенность.,2020-03-21,2020-03-21,4.49,Awaiting Payment
131,Клюква,6334,228,Фрукты,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2019-04-19,2019-04-19,0.9,Awaiting Payment
